,Baths,Beds,Location,Square Meter,base_price,city,country,page,price_usd,property_type,sub_div,Longitude,Latitude
1019,4,3,"Palm City, El Katameya Compounds, El Katameya, New Cairo City, Cairo",300,2000000,Cairo,Egypt,buy,31460000.0,Duplex,New Cairo City,29.9921014,31.4046293
1020,4,5,"West Golf, El Katameya Compounds, El Katameya, New Cairo City, Cairo",436,6479036,Cairo,Egypt,buy,101915236.28,Duplex,New Cairo City,29.9921014,31.4046293
1022,3,3,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",200,1559619,Cairo,Egypt,buy,24532806.87,Apartment,New Cairo City,30.02012785,31.498220627134504
1023,2,3,"Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",185,356000,Cairo,Egypt,buy,5599880.0,Apartment,New Cairo City,30.06310285,31.455447475107487
1025,3,4,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",195,1452750,Cairo,Egypt,buy,22851757.5,Apartment,New Cairo City,30.02012785,31.498220627134504
1026,3,4,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",208,1218100,Cairo,Egypt,buy,19160713.0,Apartment,New Cairo City,30.02012785,31.498220627134504
1027,3,3,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",195,1452750,Cairo,Egypt,buy,22851757.5,Apartment,New Cairo City,30.02012785,31.498220627134504
1030,3,4,"Bank Center Street, South Teseen St., The 5th Settlement, New Cairo City, Cairo",300,3000000,Cairo,Egypt,buy,47190000.0,Duplex,New Cairo City,30.06310285,31.455447475107487
1031,7+,7+,"Bank Center Street, South Teseen St., The 5th Settlement, New Cairo City, Cairo",550,38000000,Cairo,Egypt,buy,597740000.0,Villa,New Cairo City,30.06310285,31.455447475107487
1032,3,3,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",272,3150000,Cairo,Egypt,buy,49549500.0,Apartment,New Cairo City,30.06310285,31.455447475107487
1033,2,3,"Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",300,780000,Cairo,Egypt,buy,12269400.0,Villa,New Cairo City,30.06310285,31.455447475107487
1034,2,3,"Sodic East, 6th District, New Heliopolis, Cairo",210,284000,Cairo,Egypt,buy,4467320.0,Apartment,New Heliopolis,30.1180968,31.6925603
1036,2,3,"Free Zone St., Al Wafa Wa Al Amal, Nasr City, Cairo",125,699000,Cairo,Egypt,buy,10995270.0,Apartment,Nasr City,30.0521177,31.3422045
1037,2,3,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",145,1046000,Cairo,Egypt,buy,16453580.0,Apartment,New Cairo City,30.02012785,31.498220627134504
1038,2,3,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",135,599940,Cairo,Egypt,buy,9437056.2,Apartment,New Cairo City,30.02012785,31.498220627134504
1039,2,3,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",248,650000,Cairo,Egypt,buy,10224500.0,Villa,New Cairo City,30.06310285,31.455447475107487
1043,2,3,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",234,659000,Cairo,Egypt,buy,10366070.0,Villa,New Cairo City,30.06310285,31.455447475107487
1044,5,4,"Porto Cairo Residence, The 1st Settlement, New Cairo City, Cairo",750,8500000,Cairo,Egypt,buy,133705000.0,Villa,New Cairo City,30.02012785,31.498220627134504
1045,1,3,"Al Shabab St., The 3rd Settlement, New Cairo City, Cairo",115,809558,Cairo,Egypt,buy,12734347.34,Apartment,New Cairo City,30.02012785,31.498220627134504
1046,6,7,"Katameya Heights, El Katameya Compounds, El Katameya, New Cairo City, Cairo","1,721",71000000,Cairo,Egypt,buy,1116830000.0,Villa,New Cairo City,29.9921014,31.4046293
1048,4,4,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",356,7900000,Cairo,Egypt,buy,124267000.0,Villa,New Cairo City,30.06310285,31.455447475107487
1049,2,3,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",166,1850000,Cairo,Egypt,buy,29100500.0,Penthouse,New Cairo City,30.06310285,31.455447475107487
1050,4,4,"Al Narges 3, Al Narges, New Cairo City, Cairo",500,3800000,Cairo,Egypt,buy,59774000.0,Duplex,New Cairo City,30.02012785,31.498220627134504
1051,4,3,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",334,8000000,Cairo,Egypt,buy,125840000.0,Villa,New Cairo City,30.06310285,31.455447475107487
1052,2,3,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",160,1650000,Cairo,Egypt,buy,25954500.0,Apartment,New Cairo City,30.06310285,31.455447475107487
1053,3,3,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",300,2950000,Cairo,Egypt,buy,46403500.0,iVilla,New Cairo City,30.06310285,31.455447475107487
