Baths,Beds,Location,Square Meter,base_price,city,country,page,price_usd,property_type,sub_div,Longitude,Latitude,geometry
2,3,"Street 2, District 1, The 5th Settlement, New Cairo City, Cairo",205,2050000, Cairo,Egypt,buy,32246500.0,Apartment, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
1,2,"IL Monte Galala, Al Ain Al Sokhna, Suez",92,1430000, Suez,Egypt,buy,22493900.0,Chalet, Al Ain Al Sokhna,30.0742818,31.54437395381909,POINT (31.54437395381909 30.0742818)
2,2,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",125,2000000, Cairo,Egypt,buy,31460000.0,Apartment, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
3,3,"Baymount, Al Ain Al Sokhna, Suez",220,5900000, Suez,Egypt,buy,92807000.0,Villa, Al Ain Al Sokhna,30.0742818,31.54437395381909,POINT (31.54437395381909 30.0742818)
2,2,"Palm Parks   Palm Hills, South Dahshur Link, 6 October City, Giza",153,3200000, Giza,Egypt,buy,50336000.0,Penthouse, 6 October City,30.1176285,31.367206,POINT (31.367206 30.1176285)
3,3,"Galleria Moon Valley, South Investors Area, New Cairo City, Cairo",200,2600000, Cairo,Egypt,buy,40898000.0,Penthouse, New Cairo City,30.02012785,31.498220627134504,POINT (31.4982206271345 30.02012785)
4,4,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",350,9250000, Cairo,Egypt,buy,145502500.0,Villa, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
2,3,"Al Hayat Resort, Al Ain Al Sokhna, Suez",187,1100000, Suez,Egypt,buy,17303000.0,Chalet, Al Ain Al Sokhna,30.0742818,31.54437395381909,POINT (31.54437395381909 30.0742818)
3,3,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",356,9000000, Cairo,Egypt,buy,141570000.0,Villa, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
1,3,"Baymount, Al Ain Al Sokhna, Suez",144,1800000, Suez,Egypt,buy,28314000.0,Chalet, Al Ain Al Sokhna,30.0742818,31.54437395381909,POINT (31.54437395381909 30.0742818)
2,2,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",125,2150000, Cairo,Egypt,buy,33819500.0,Apartment, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
4,4,"Al Jazeera, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",380,8500000, Cairo,Egypt,buy,133705000.0,Villa, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
1,1,"Mangroovy Residence, Al Gouna, Hurghada, Red Sea",105,3700000, Red Sea,Egypt,buy,58201000.0,Apartment, Hurghada,30.0582499,31.301586100000005,POINT (31.30158610000001 30.0582499)
3,3,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",200,3950000, Cairo,Egypt,buy,62133500.0,Apartment, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
3,3,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",186,3300000, Cairo,Egypt,buy,51909000.0,Apartment, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
5,7,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",630,15250000, Cairo,Egypt,buy,239882500.0,Apartment, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
2,2,"Abdel Moneim Riad St., Mohandessin, Giza",130,1800000, Giza,Egypt,buy,28314000.0,Apartment, Mohandessin,30.0170039,31.213450800000004,POINT (31.2134508 30.0170039)
6,5,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",372,10000000, Cairo,Egypt,buy,157300000.0,Villa, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
6,5,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",500,11800000, Cairo,Egypt,buy,185614000.0,Villa, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
2,2,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",134,2350000, Cairo,Egypt,buy,36965500.0,Apartment, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
5,5,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",307,6500000, Cairo,Egypt,buy,102245000.0,Townhouse, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
4,3,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",320,7000000, Cairo,Egypt,buy,110110000.0,Twin House, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
4,4,"Palm Hills   Palm Valley, 26th of July Corridor, 6 October City, Giza",244,5000000, Giza,Egypt,buy,78650000.0,Townhouse, 6 October City,30.1176285,31.367206,POINT (31.367206 30.1176285)
4,3,"Stone Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",280,6000000, Cairo,Egypt,buy,94380000.0,Villa, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
3,3,"Village Gardens Katameya, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",270,3700000, Cairo,Egypt,buy,58201000.0,Townhouse, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
4,5,"Street 10, Greens, 6th District, Sheikh Zayed City, Giza",427,6000000, Giza,Egypt,buy,94380000.0,Twin House, Sheikh Zayed City,30.1594337,31.760475305305036,POINT (31.76047530530504 30.1594337)
2,3,"El Patio Oro, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",164,900000, Cairo,Egypt,buy,14157000.0,Apartment, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
3,4,"Sarayat Al Maadi, Hay El Maadi, Cairo",450,5700000, Cairo,Egypt,buy,89661000.0,Duplex, Hay El Maadi,30.048819,31.243666,POINT (31.243666 30.048819)
3,2,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",127,1950000, Cairo,Egypt,buy,30673500.0,Apartment, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
5,5,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",263,5600000, Cairo,Egypt,buy,88088000.0,Townhouse, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
3,3,"Celesta Hills, Uptown Cairo, Mokattam, Cairo",287,6400000, Cairo,Egypt,buy,100672000.0,Townhouse, Mokattam,30.033333,31.283333,POINT (31.283333 30.033333)
5,5,"Hayah Residence, North Teseen St., The 5th Settlement, New Cairo City, Cairo",560,9800000, Cairo,Egypt,buy,154154000.0,Villa, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
2,3,"Baymount, Al Ain Al Sokhna, Suez",126,1800000, Suez,Egypt,buy,28314000.0,Chalet, Al Ain Al Sokhna,30.0742818,31.54437395381909,POINT (31.54437395381909 30.0742818)
2,3,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",160,1780000, Cairo,Egypt,buy,27999400.0,Apartment, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
3,4,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",265,7150000, Cairo,Egypt,buy,112469500.0,Villa, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
5,5,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",263,5250000, Cairo,Egypt,buy,82582500.0,Townhouse, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
4,4,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",320,7400000, Cairo,Egypt,buy,116402000.0,Twin House, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
5,6,"Fifth Square, North Investors Area, New Cairo City, Cairo",347,557500, Cairo,Egypt,buy,8769475.0,Villa, New Cairo City,30.02012785,31.498220627134504,POINT (31.4982206271345 30.02012785)
2,3,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",195,3331250, Cairo,Egypt,buy,52400562.5,Apartment, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
4,4,"Sodic East, 6th District, New Heliopolis, Cairo",234,4497000, Cairo,Egypt,buy,70737810.0,Townhouse, New Heliopolis,30.1180968,31.6925603,POINT (31.6925603 30.1180968)
4,4,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",303,9000000, Cairo,Egypt,buy,141570000.0,Villa, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
2,2,"The Village, South Investors Area, New Cairo City, Cairo",146,2850000, Cairo,Egypt,buy,44830500.0,Apartment, New Cairo City,30.02012785,31.498220627134504,POINT (31.4982206271345 30.02012785)
3,3,"The Sierras, Uptown Cairo, Mokattam, Cairo",186,4200000, Cairo,Egypt,buy,66066000.0,Apartment, Mokattam,30.033333,31.283333,POINT (31.283333 30.033333)
3,3,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",278,4200000, Cairo,Egypt,buy,66066000.0,Apartment, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
2,3,"Swan Lake, Al Gouna, Hurghada, Red Sea",133,3000000, Red Sea,Egypt,buy,47190000.0,Chalet, Hurghada,30.0582499,31.301586100000005,POINT (31.30158610000001 30.0582499)
5,4,"Landmark Village, Ext North Inves Area, New Cairo City, Cairo",340,7000000, Cairo,Egypt,buy,110110000.0,Twin House, New Cairo City,30.02012785,31.498220627134504,POINT (31.4982206271345 30.02012785)
3,3,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",267,4300000, Cairo,Egypt,buy,67639000.0,Duplex, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
4,3,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",234,3900000, Cairo,Egypt,buy,61347000.0,Apartment, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
4,4,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",557,11500000, Cairo,Egypt,buy,180895000.0,Villa, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
4,3,"Joubal Lagoon, Al Gouna, Hurghada, Red Sea",154,6900000, Red Sea,Egypt,buy,108537000.0,Twin House, Hurghada,30.0582499,31.301586100000005,POINT (31.30158610000001 30.0582499)
5,5,"Palm Hills Golf Views, Cairo Alexandria Desert Road, 6 October City, Giza",656,14000000, Giza,Egypt,buy,220220000.0,Villa, 6 October City,30.1176285,31.367206,POINT (31.367206 30.1176285)
4,3,"The Crown, Cairo Alexandria Desert Road, 6 October City, Giza",211,6093100, Giza,Egypt,buy,95844463.0,Townhouse, 6 October City,30.1176285,31.367206,POINT (31.367206 30.1176285)
4,3,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",306,5750000, Cairo,Egypt,buy,90447500.0,Twin House, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
3,3,"El Patio 7, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",210,4300000, Cairo,Egypt,buy,67639000.0,Apartment, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
4,3,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",235,2427000, Cairo,Egypt,buy,38176710.0,Duplex, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
7,6,"Dyar Compound, 90 Street, The 5th Settlement, New Cairo City, Cairo","1,000",14000000, Cairo,Egypt,buy,220220000.0,Villa, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
3,3,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",159,1252000, Cairo,Egypt,buy,19693960.0,Apartment, New Cairo City,30.02012785,31.498220627134504,POINT (31.4982206271345 30.02012785)
6,6,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",310,7250000, Cairo,Egypt,buy,114042500.0,Twin House, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
5,5,"Katameya Dunes, El Katameya Compounds, El Katameya, New Cairo City, Cairo",600,16000000, Cairo,Egypt,buy,251680000.0,Villa, New Cairo City,29.9921014,31.4046293,POINT (31.4046293 29.9921014)
3,3,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",278,5150000, Cairo,Egypt,buy,81009500.0,Townhouse, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
7+,7,"Palm Hills Golf Views, Cairo Alexandria Desert Road, 6 October City, Giza","1,154",37000000, Giza,Egypt,buy,582010000.0,Villa, 6 October City,30.1176285,31.367206,POINT (31.367206 30.1176285)
3,3,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",233,4000000, Cairo,Egypt,buy,62920000.0,Duplex, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
