,Location,price_EGP,price_usd,property_type,Beds,Baths,Square Meter,city,sub_div
515,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3650000.0,57524000.0,Apartment,3,3,200, Cairo, New Cairo City
516,"The Square, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2800000.0,44128000.0,Penthouse,4,4,220, Cairo, New Cairo City
517,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",6150000.0,96924000.0,Twin House,3,3,190, Cairo, New Cairo City
518,"Beit Alwatan, 6 October Compounds, 6 October City, Giza",1359000.0,21417840.0,Apartment,3,3,206, Giza, 6 October City
519,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2300000.0,36248000.0,Apartment,3,2,235, Cairo, New Cairo City
520,"Street28, District 5, The 5th Settlement, New Cairo City, Cairo",3200000.0,50432000.0,Apartment,4,3,240, Cairo, New Cairo City
521,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",15500000.0,244280000.0,Villa,5,5,500, Cairo, New Cairo City
522,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",8200000.0,129232000.0,Twin House,4,4,355, Cairo, New Cairo City
523,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3900000.0,61464000.0,Apartment,3,3,200, Cairo, New Cairo City
524,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",7150000.0,112684000.0,Villa,4,3,265, Cairo, New Cairo City
525,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",7600000.0,119776000.0,Twin House,3,3,340, Cairo, New Cairo City
526,"Beit Al Watan, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",1300000.0,20488000.0,Apartment,3,3,179, Giza, Sheikh Zayed City
527,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3000000.0,47280000.0,iVilla,5,5,300, Cairo, New Cairo City
528,"La Vista 3, La Vista, Al Ain Al Sokhna, Suez",2200000.0,34672000.0,Chalet,3,2,140, Suez, Al Ain Al Sokhna
529,"Al Karma 4, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",6000000.0,94560000.0,Twin House,3,3,337, Giza, Sheikh Zayed City
530,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4970000.0,78327200.0,Townhouse,3,3,360, Cairo, New Cairo City
531,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4000000.0,63040000.0,Townhouse,4,4,360, Cairo, New Cairo City
532,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5500000.0,86680000.0,Villa,4,3,271, Cairo, New Cairo City
533,"Allegria, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",12000000.0,189120000.0,Villa,4,4,380, Giza, Sheikh Zayed City
534,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",25000000.0,394000000.0,Villa,5,5,800, Cairo, New Cairo City
535,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5817000.0,91675920.0,Apartment,3,4,345, Cairo, New Cairo City
536,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",6900000.0,108744000.0,Twin House,4,4,340, Cairo, New Cairo City
537,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4400000.0,69344000.0,Townhouse,3,4,235, Cairo, New Cairo City
538,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",4000000.0,63040000.0,Villa,5,5,520, Cairo, New Cairo City
539,"Azha, Al Ain Al Sokhna, Suez",1974000.0,31110240.0,Chalet,2,2,100, Suez, Al Ain Al Sokhna
540,"Aroma Beach, Al Ain Al Sokhna, Suez",1400000.0,22064000.0,Chalet,1,1,75, Suez, Al Ain Al Sokhna
541,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",1500000.0,23640000.0,Apartment,2,3,152, Cairo, New Cairo City
542,"Abdel Moneim Riad St., Mohandessin, Giza",1800000.0,28368000.0,Apartment,2,2,130, Giza, Mohandessin
543,"Marassi, Sidi Abdel Rahman, North Coast",5125000.0,80770000.0,Chalet,2,1,138, North Coast, Sidi Abdel Rahman
544,"Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2400000.0,37824000.0,Apartment,2,2,155, Cairo, New Cairo City
545,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",9100000.0,143416000.0,Villa,5,4,391, Cairo, New Cairo City
546,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",6431155.0,101355002.8,Twin House,4,4,348, Cairo, New Cairo City
547,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",15000000.0,236400000.0,Villa,4,4,427, Cairo, New Cairo City
548,"Adn St., Mohandessin, Giza",1800000.0,28368000.0,Apartment,3,3,150, Giza, Mohandessin
549,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",8200000.0,129232000.0,Villa,3,4,270, Cairo, New Cairo City
550,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2980000.0,46964800.0,Apartment,3,3,156, Cairo, New Cairo City
551,"Madinaty, Cairo",13000000.0,204880000.0,Villa,6,6,900, Cairo,Madinaty
552,"Midtown Condo, New Capital Compounds, New Capital City, Cairo",1160000.0,18281600.0,Apartment,2,2,105, Cairo, New Capital City
553,"Zed Towers, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",3200000.0,50432000.0,Apartment,3,2,135, Giza, Sheikh Zayed City
555,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3250000.0,51220000.0,Apartment,3,3,186, Cairo, New Cairo City
556,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",7200000.0,113472000.0,Villa,3,3,229, Cairo, New Cairo City
557,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",7500000.0,118200000.0,Twin House,4,4,320, Cairo, New Cairo City
558,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",9500000.0,149720000.0,Villa,5,4,390, Cairo, New Cairo City
559,"Alsuwais Cairo Road, Zahraa El Maadi, Hay El Maadi, Cairo",826000.0,13017760.0,Apartment,3,1,108, Cairo, Hay El Maadi
560,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",15887500.0,250387000.0,Villa,4,4,500, Cairo, New Cairo City
561,"Flowers Park, North Investors Area, New Cairo City, Cairo",10500000.0,165480000.0,Villa,5,4,500, Cairo, New Cairo City
562,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",9500000.0,149720000.0,Villa,3,3,347, Cairo, New Cairo City
563,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",9500000.0,149720000.0,Villa,5,4,392, Cairo, New Cairo City
564,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",12812500.0,201925000.0,Villa,5,5,500, Cairo, New Cairo City
565,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5125000.0,80770000.0,Apartment,4,3,238, Cairo, New Cairo City
566,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",6000000.0,94560000.0,Townhouse,3,3,285, Cairo, New Cairo City
567,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",9600000.0,151296000.0,Villa,5,4,391, Cairo, New Cairo City
568,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",7200000.0,113472000.0,Villa,3,3,228, Cairo, New Cairo City
569,"Madinaty, Cairo",1050000.0,16548000.0,Apartment,3,2,124, Cairo,Madinaty
570,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",10950000.0,172572000.0,Villa,5,4,356, Cairo, New Cairo City
571,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",6300000.0,99288000.0,Townhouse,4,4,280, Cairo, New Cairo City
572,"R7, New Capital City, Cairo",1989883.0,31360556.08,Apartment,3,4,186, Cairo, New Capital City
573,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",22000000.0,346720000.0,Villa,7+,7+,"1,080", Cairo, New Cairo City
575,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2950000.0,46492000.0,iVilla,4,4,300, Cairo, New Cairo City
576,"Allegria, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",8000000.0,126080000.0,Villa,5,5,550, Giza, Sheikh Zayed City
577,"IL Monte Galala, Al Ain Al Sokhna, Suez",2522666.0,39757216.16,Twin House,3,2,195, Suez, Al Ain Al Sokhna
578,"IL Monte Galala, Al Ain Al Sokhna, Suez",4700000.0,74072000.0,Twin House,3,3,175, Suez, Al Ain Al Sokhna
579,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5000000.0,78800000.0,Townhouse,3,3,280, Cairo, New Cairo City
580,"Beit Al Watan, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",380000.0,5988800.0,Apartment,3,3,185, Giza, Sheikh Zayed City
581,"Royal Meadows, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",4850000.0,76436000.0,Twin House,5,5,485, Giza, Sheikh Zayed City
582,"Al Thawra St., Almazah, Heliopolis - Masr El Gedida, Cairo",2200000.0,34672000.0,Apartment,2,2,127, Cairo, Heliopolis - Masr El Gedida
583,"Mountain View Executive, Al Andalus District, New Cairo City, Cairo",3590000.0,56578400.0,Apartment,4,3,234, Cairo, New Cairo City
584,"Al Andalus District, 6 October Compounds, 6 October City, Giza",680800.0,10729408.0,Apartment,3,2,148, Giza, 6 October City
586,"Galleria Moon Valley, South Investors Area, New Cairo City, Cairo",2600000.0,40976000.0,Penthouse,3,3,200, Cairo, New Cairo City
587,"Mohamed Mazhar St., Zamalek, Cairo",19500000.0,307320000.0,Apartment,4,5,500, Cairo, Zamalek
