Baths,Beds,Location,Square Meter,base_price,city,country,page,price_usd,property_type,sub_div,lat,lon
3,3,"Stone Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",240,4000000, Cairo,Egypt,buy,62920000.0,Townhouse, New Cairo City,30.06310285,31.45544747510749
5,4,"Al Diyar, Al Narges, New Cairo City, Cairo",850,15500000, Cairo,Egypt,buy,243815000.0,Villa, New Cairo City,30.02012785,31.498220627134504
1,1,"Mangroovy Residence, Al Gouna, Hurghada, Red Sea",90,2650000, Red Sea,Egypt,buy,41684500.0,Apartment, Hurghada,30.0582499,31.3015861
4,5,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",356,8000000, Cairo,Egypt,buy,125840000.0,Villa, New Cairo City,30.06310285,31.45544747510749
4,4,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",304,6300000, Cairo,Egypt,buy,99099000.0,Townhouse, New Cairo City,30.06310285,31.45544747510749
4,3,"Porto October, Green Belt, 6 October City, Giza",370,9117000, Giza,Egypt,buy,143410410.0,Villa, 6 October City,30.1176285,31.367206
2,2,"Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",140,1400000, Cairo,Egypt,buy,22022000.0,Apartment, New Cairo City,30.06310285,31.45544747510749
6,7,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",680,13500000, Cairo,Egypt,buy,212355000.0,Villa, New Cairo City,30.02012785,31.498220627134504
4,3,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",355,6900000, Cairo,Egypt,buy,108537000.0,Twin House, New Cairo City,30.06310285,31.45544747510749
3,2,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",127,1900000, Cairo,Egypt,buy,29887000.0,Apartment, New Cairo City,30.06310285,31.45544747510749
3,3,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",211,2700000, Cairo,Egypt,buy,42471000.0,Apartment, New Cairo City,30.06310285,31.45544747510749
