Baths,Beds,Location,Square Meter,base_price,city,country,page,property_type,sub_div
4,4,"Katameya Heights, El Katameya Compounds, El Katameya, New Cairo City, Cairo",900,119000, Cairo,egypt,rent,Villa, New Cairo City
4,4,"Katameya Heights, El Katameya Compounds, El Katameya, New Cairo City, Cairo",650,80000, Cairo,egypt,rent,Villa, New Cairo City
3,3,"Sarayat Al Maadi, Hay El Maadi, Cairo",300,45000, Cairo,egypt,rent,Duplex, Hay El Maadi
3,3,"Mohamed Mazhar St., Zamalek, Cairo",260,50000, Cairo,egypt,rent,Apartment, Zamalek
4,4,"Talaat Mostafa St., Rehab City Fifth Phase, Al Rehab, New Cairo City, Cairo",700,50000, Cairo,egypt,rent,Villa, New Cairo City
2,2,"Ahmed Sabry St., Zamalek, Cairo",150,35000, Cairo,egypt,rent,Apartment, Zamalek
3,3,"Katameya Heights, El Katameya Compounds, El Katameya, New Cairo City, Cairo",750,95000, Cairo,egypt,rent,Duplex, New Cairo City
3,3,"Degla Square, Degla, Hay El Maadi, Cairo",250,25000, Cairo,egypt,rent,Apartment, Hay El Maadi
4,5,"Katameya Heights, El Katameya Compounds, El Katameya, New Cairo City, Cairo",750,98000, Cairo,egypt,rent,Villa, New Cairo City
2,2,"Street 207, Degla, Hay El Maadi, Cairo",160,48000, Cairo,egypt,rent,Apartment, Hay El Maadi
1,1,"Ahmed Heshmat St., Zamalek, Cairo",160,22000, Cairo,egypt,rent,Apartment, Zamalek
4,4,"Sarayat Al Maadi, Hay El Maadi, Cairo",250,30000, Cairo,egypt,rent,Apartment, Hay El Maadi
1,1,"Mohamed Mazhar St., Zamalek, Cairo",120,23000, Cairo,egypt,rent,Apartment, Zamalek
4,4,"El Gezirah St., Zamalek, Cairo",300,60000, Cairo,egypt,rent,Apartment, Zamalek
3,3,"Syria St., Mohandessin, Giza",220,38000, Giza,egypt,rent,Apartment, Mohandessin
3,4,"Sarayat Al Maadi, Hay El Maadi, Cairo",270,32000, Cairo,egypt,rent,Apartment, Hay El Maadi
3,3,"Katameya Heights, El Katameya Compounds, El Katameya, New Cairo City, Cairo",710,78000, Cairo,egypt,rent,Villa, New Cairo City
3,3,"Sarayat Al Maadi, Hay El Maadi, Cairo",300,39000, Cairo,egypt,rent,Apartment, Hay El Maadi
6,5,"Marina 5, Marina, Al Alamein, North Coast",600,10000, North Coast,egypt,rent,Villa, Al Alamein
2,3,"Sarayat Al Maadi, Hay El Maadi, Cairo",200,45000, Cairo,egypt,rent,Apartment, Hay El Maadi
4,4,"Marassi, Sidi Abdel Rahman, North Coast",300,210000, North Coast,egypt,rent,Twin House, Sidi Abdel Rahman
4,6,"Katameya Heights, El Katameya Compounds, El Katameya, New Cairo City, Cairo","1,244",128000, Cairo,egypt,rent,Villa, New Cairo City
5,6,"Katameya Heights, El Katameya Compounds, El Katameya, New Cairo City, Cairo","1,300",145000, Cairo,egypt,rent,Duplex, New Cairo City
3,4,"Sarayat Al Maadi, Hay El Maadi, Cairo",320,32000, Cairo,egypt,rent,Penthouse, Hay El Maadi
4,3,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",250,25000, Cairo,egypt,rent,Apartment, New Cairo City
3,4,"Sarayat Al Maadi, Hay El Maadi, Cairo",250,28000, Cairo,egypt,rent,Apartment, Hay El Maadi
3,3,"Katameya Heights, El Katameya Compounds, El Katameya, New Cairo City, Cairo",230,45000, Cairo,egypt,rent,Apartment, New Cairo City
3,3,"El Rehab Extension, Al Rehab, New Cairo City, Cairo",180,22000, Cairo,egypt,rent,Apartment, New Cairo City
2,2,"Katameya Heights, El Katameya Compounds, El Katameya, New Cairo City, Cairo",240,61000, Cairo,egypt,rent,Apartment, New Cairo City
3,3,"Sarayat Al Maadi, Hay El Maadi, Cairo",300,45000, Cairo,egypt,rent,Apartment, Hay El Maadi
1,1,"The Courtyards, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",45,6000, Giza,egypt,rent,Penthouse, Sheikh Zayed City
